 Column Explanation:
-------------------------------------------------------------------------------------
ASPECT_SPLIT       : Aspect + split type (e.g. dorsal_r_train)
Classes            : Number of identity folders (unique IDs)
Samples            : Total number of images in the split
Min                : Minimum samples found in any class (and how many classes have this count)
Max                : Maximum samples found in any class (and how many classes have this count)
-------------------------------------------------------------------------------------

 11k Dataset Distribution Summary
=====================================================================================

 DORSAL_R
dorsal_r_train       | Classes:   72 | Samples:   890 | Min:  2 (1) | Max: 40 (2)
dorsal_r_val         | Classes:   72 | Samples:    72 | Min:  1 (72) | Max:  1 (72)
dorsal_r_test        | Classes:   71 | Samples:  1042 | Min:  2 (1) | Max: 46 (1)

 DORSAL_L
dorsal_l_train       | Classes:   73 | Samples:   735 | Min:  1 (1) | Max: 41 (1)
dorsal_l_val         | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_test        | Classes:   73 | Samples:  1061 | Min:  4 (1) | Max: 52 (1)

 PALMAR_R
palmar_r_train       | Classes:   72 | Samples:   905 | Min:  3 (4) | Max: 70 (1)
palmar_r_val         | Classes:   72 | Samples:    72 | Min:  1 (72) | Max:  1 (72)
palmar_r_test        | Classes:   71 | Samples:   988 | Min:  4 (2) | Max: 54 (1)

 PALMAR_L
palmar_l_train       | Classes:   76 | Samples:   928 | Min:  1 (2) | Max: 55 (1)
palmar_l_val         | Classes:   76 | Samples:    76 | Min:  1 (76) | Max:  1 (76)
palmar_l_test        | Classes:   75 | Samples:  1023 | Min:  4 (1) | Max: 39 (1)

 Monte Carlo Query/Gallery Splits Summary
=====================================================================================

 DORSAL_R
dorsal_r_gallery0    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery1    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery2    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery3    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery4    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery5    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery6    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery7    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery8    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_gallery9    | Classes:   71 | Samples:    71 | Min:  1 (71) | Max:  1 (71)
dorsal_r_query0      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query1      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query2      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query3      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query4      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query5      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query6      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query7      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query8      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)
dorsal_r_query9      | Classes:   71 | Samples:   971 | Min:  1 (1) | Max: 45 (1)

 DORSAL_L
dorsal_l_gallery0    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery1    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery2    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery3    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery4    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery5    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery6    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery7    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery8    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
dorsal_l_gallery9    | Classes:   73 | Samples:    73 | Min:  1 (73) | Max:  1 (73)
