version,epoch,prompt_loss,learning_rate,loss_id,loss_triplet,loss_center,loss_i2t,loss_t2i,rank1,rank5,rank10,map,is_best
stage2-v1,1,1.4544,1e-06,19.0068,0.1645,974.4965,1.6942,1.6094,47.89,68.49,77.14,57.56,yes
stage2-v1,2,,1e-06,18.3242,0.0656,988.3671,0.652,0.619,43.05,68.69,80.64,55.12,no
stage2-v1,3,,2e-06,17.8782,0.1254,995.8762,1.251,1.238,45.83,70.85,81.05,57.68,no
stage2-v1,4,,3e-06,16.8179,0.0907,990.478,1.0137,0.9904,47.37,70.85,82.18,58.64,no
stage2-v1,5,,5e-06,14.483,0.087,983.4376,1.5468,1.6094,49.74,74.97,85.89,60.94,yes
stage2-v1,6,,8e-06,14.774,0.0588,994.6402,1.0596,1.1142,58.19,79.2,88.36,68.0,yes
stage2-v1,7,,1e-05,10.5288,0.0471,985.4611,1.347,1.3618,60.97,86.41,92.79,71.88,yes
stage2-v1,8,,1.4e-05,6.1499,0.0031,989.1775,1.436,1.3618,65.81,86.1,91.25,74.73,yes
stage2-v1,9,,1.7e-05,2.8536,0.0,988.2338,2.0711,2.1046,67.87,87.23,93.51,76.6,yes
stage2-v1,10,,2.1e-05,1.7538,0.0,977.8925,0.5512,0.619,65.81,89.39,93.72,75.57,no
stage2-v1,11,,2.6e-05,1.8322,0.0027,985.1066,1.7032,1.7332,73.74,93.51,97.94,81.98,yes
stage2-v1,12,,3e-05,0.6723,0.0,963.412,1.1964,1.238,76.0,93.41,97.01,83.74,yes
stage2-v1,13,,3.5e-05,0.2655,0.0,968.6393,0.8859,0.9904,72.09,91.56,95.47,80.37,no
stage2-v1,14,,4e-05,0.2525,0.0,944.6067,1.3524,1.3618,77.65,93.41,96.19,84.82,yes
stage2-v1,15,,4.5e-05,0.3331,0.0012,920.5684,0.9041,0.9904,76.83,93.2,96.91,83.96,no
stage2-v1,16,,5.1e-05,0.0588,0.0,891.7649,1.099,1.1142,76.93,93.1,96.4,84.08,no
stage2-v1,17,,5.6e-05,0.0739,0.0,854.9679,0.5178,0.4952,83.73,95.98,97.73,89.28,yes
stage2-v1,18,,6.1e-05,0.0673,0.0022,824.7455,0.9816,1.1142,73.02,90.22,95.47,80.38,no
stage2-v1,19,,6.6e-05,0.1296,0.0006,845.4563,1.2175,1.3618,73.94,90.73,95.47,81.53,no
stage2-v1,20,,7.1e-05,0.5932,0.0033,879.4139,1.2063,1.238,71.37,87.85,92.69,78.78,no
stage2-v1,21,,7.5e-05,0.7,0.0,892.5695,0.8574,0.9904,76.21,89.39,95.16,82.43,no
stage2-v1,22,,8e-05,0.1955,0.0012,906.4345,1.8453,1.857,81.46,94.44,97.84,87.24,no
stage2-v2,1,1.4956,0.0001,10.9592,0.0993,945.2012,1.3373,1.3618,62.0,80.02,88.77,70.49,yes
stage2-v2,2,,0.0001,4.4633,0.0288,966.5083,0.929,0.9904,74.15,87.95,94.75,80.71,yes
stage2-v2,3,,9.9e-05,2.9239,0.0059,962.7651,1.3478,1.3618,75.49,91.25,95.78,82.37,yes
stage2-v2,4,,9.8e-05,1.2221,0.0107,957.463,1.0682,0.9904,86.41,96.19,97.63,90.9,yes
stage2-v2,5,,9.6e-05,0.4986,0.0091,913.9599,0.9224,0.9904,83.11,96.5,98.66,89.12,no
stage2-v2,6,,9.3e-05,0.4134,0.0094,891.8466,1.6742,1.6094,81.67,95.16,98.35,87.73,no
stage2-v2,7,,9.1e-05,0.3091,0.0013,876.5893,1.0808,1.1142,85.99,96.7,98.76,90.74,no
stage2-v2,8,,8.7e-05,0.0467,0.0069,834.8615,1.1618,1.238,83.01,96.5,98.15,88.93,no
stage2-v2,9,,8.4e-05,0.008,0.0,794.2385,1.2079,1.238,89.6,95.98,98.46,92.71,yes
stage2-v2,10,,8e-05,0.007,0.0025,760.9221,0.9193,0.9904,91.86,96.6,98.46,93.88,yes
stage2-v2,11,,7.5e-05,0.0066,0.0,731.5175,0.7444,0.7428,91.14,96.7,98.04,93.82,no
