version,epoch,prompt_loss,learning_rate,loss_id,loss_triplet,loss_center,loss_i2t,loss_t2i,rank1,rank5,rank10,map,is_best
stage2-v1,1,1.2963,1e-06,16.6545,0.1103,477.4496,0.732,0.7428,68.8,86.92,91.76,76.86,yes
stage2-v1,2,,1e-06,13.2741,0.1211,478.1122,1.3707,1.3618,77.96,93.2,96.5,84.66,yes
stage2-v1,3,,2e-06,11.9292,0.065,484.6448,0.7395,0.7428,84.45,94.95,97.73,89.08,yes
stage2-v1,4,,3e-06,6.422,0.0438,491.8212,1.2234,1.238,88.98,97.43,99.07,92.62,yes
stage2-v1,5,,5e-06,3.2793,0.03,491.7758,0.8624,0.8666,91.25,97.63,99.18,94.21,yes
stage2-v1,6,,8e-06,1.0575,0.0164,492.9665,1.2228,1.238,94.54,98.35,99.59,96.22,yes
stage2-v1,7,,1e-05,0.506,0.0022,496.3399,0.7419,0.7428,95.57,98.76,99.38,97.08,yes
stage2-v1,8,,1.4e-05,0.2554,0.0,485.2643,1.1061,1.1142,94.44,99.28,99.69,96.7,no
stage2-v1,9,,1.7e-05,0.1478,0.0003,480.0281,1.3645,1.3618,95.78,99.59,99.59,97.43,yes
stage2-v1,10,,2.1e-05,0.0145,0.0002,472.4265,0.7129,0.7428,95.98,99.49,99.79,97.53,yes
stage2-v1,11,,2.6e-05,0.013,0.0009,463.7339,0.7815,0.7428,96.09,99.38,99.69,97.6,yes
stage2-v1,12,,3e-05,0.0182,0.0072,445.9091,1.1821,1.238,96.6,99.18,99.59,97.79,yes
stage2-v1,13,,3.5e-05,0.0218,0.001,417.5761,1.352,1.3618,95.67,99.38,99.59,97.43,no
stage2-v1,14,,4e-05,0.0283,0.0,410.3761,1.0235,1.1142,95.98,99.28,99.69,97.37,no
stage2-v1,15,,4.5e-05,0.0158,0.0,413.5124,0.3495,0.3714,96.91,99.49,99.59,98.01,yes
stage2-v1,16,,5.1e-05,0.0194,0.003,408.0687,1.5307,1.6094,95.78,99.38,99.69,97.27,no
stage2-v1,17,,5.6e-05,0.0141,0.0031,382.5433,1.675,1.7332,97.12,99.38,99.59,98.18,yes
stage2-v1,18,,6.1e-05,0.025,0.0001,371.2296,1.5688,1.6094,95.26,99.38,99.69,97.11,no
stage2-v1,19,,6.6e-05,0.0127,0.0102,372.4661,1.0697,1.1142,96.29,99.18,99.79,97.64,no
stage2-v1,20,,7.1e-05,0.0072,0.0039,355.4359,1.0076,0.9904,97.01,99.28,99.59,98.11,no
stage2-v1,21,,7.5e-05,0.016,0.011,335.7907,1.8194,1.857,97.53,99.49,99.79,98.27,yes
stage2-v1,22,,8e-05,0.0331,0.0,347.4972,1.6387,1.6094,98.66,99.59,99.69,99.1,yes
stage2-v1,23,,8.4e-05,14.6646,0.2069,418.7263,1.2272,1.238,73.53,86.82,92.28,79.79,no
stage2-v1,24,,8.7e-05,4.8115,0.1821,443.3715,1.7162,1.7332,85.79,94.23,96.91,89.64,no
stage2-v1,25,,9.1e-05,2.6069,0.0439,479.7096,1.7281,1.7332,88.57,96.09,97.84,91.97,no
stage2-v1,26,,9.3e-05,0.6333,0.0254,475.778,1.6795,1.7332,91.25,97.73,98.76,93.78,no
stage2-v1,27,,9.6e-05,0.0436,0.0001,473.3463,0.9675,0.9904,91.04,97.63,98.15,93.63,no
stage2-v2,1,1.4596,0.0001,9.545,0.1093,478.2838,1.5861,1.6094,92.69,98.66,99.18,95.28,yes
stage2-v2,2,,0.0001,4.846,0.0157,482.8628,0.4707,0.4952,94.54,98.15,99.38,96.39,yes
stage2-v2,3,,9.9e-05,1.0326,0.011,484.6278,1.2462,1.238,95.67,99.18,99.59,97.32,yes
stage2-v2,4,,9.8e-05,0.2119,0.0072,489.3691,1.328,1.3618,95.67,98.97,99.38,97.14,no
stage2-v2,5,,9.6e-05,0.0506,0.0024,479.1258,0.5742,0.619,96.6,99.28,99.59,97.88,yes
stage2-v2,6,,9.3e-05,0.0449,0.0078,483.8985,1.2064,1.238,95.47,99.18,99.38,97.22,no
stage2-v2,7,,9.1e-05,0.0197,0.0,461.1222,1.3492,1.3618,96.7,99.28,99.49,98.03,yes
stage2-v2,8,,8.7e-05,0.0145,0.0,464.384,0.9235,0.9904,97.32,99.28,99.38,98.22,yes
stage2-v2,9,,8.4e-05,0.0133,0.0,448.4153,0.8032,0.8666,97.32,99.18,99.49,98.22,no
stage2-v2,10,,8e-05,0.0116,0.0006,446.2408,1.0589,1.1142,96.91,99.28,99.38,98.0,no
stage2-v2,11,,7.5e-05,0.0174,0.0,447.6207,1.0791,1.1142,97.22,99.28,99.38,98.15,no
stage2-v2,12,,7.1e-05,0.0151,0.0004,442.0655,0.857,0.8666,97.12,99.28,99.49,98.13,no
stage2-v2,13,,6.6e-05,0.0055,0.0,434.0444,0.2044,0.2476,97.22,99.28,99.59,98.17,no
stage2-v3,1,1.4959,1e-06,4.2755,0.1149,500.074,1.4891,1.4856,76.62,91.76,95.67,83.33,yes
stage2-v3,2,,3e-06,4.2581,0.0513,492.6745,1.5278,1.4856,85.17,96.5,98.87,89.74,yes
stage2-v3,3,,4e-06,4.2461,0.0095,509.7016,0.8771,0.9904,86.92,98.66,99.69,92.4,yes
stage2-v3,4,,4e-06,4.2043,0.0,494.2754,0.9885,1.1142,88.36,98.56,99.38,92.68,yes
stage2-v3,5,,4e-06,4.1986,0.0094,502.0103,0.7628,0.8666,90.83,98.97,99.59,94.41,yes
stage2-v3,6,,4e-06,4.1714,0.0034,490.6197,0.5874,0.619,90.32,98.56,99.28,93.7,no
stage2-v3,7,,4e-06,4.1767,0.0004,487.1761,1.4975,1.3618,94.64,99.49,99.69,96.82,yes
stage2-v3,8,,4e-06,4.1529,0.0035,496.1634,1.344,1.3618,94.23,99.18,99.59,96.3,no
stage2-v3,9,,4e-06,4.1209,0.0012,493.6847,1.9105,1.857,91.25,98.66,99.79,94.74,no
stage2-v3,10,,3e-06,4.1374,0.0,496.3535,1.4567,1.4856,93.41,99.49,99.9,96.1,no
stage2-v3,11,,3e-06,4.0826,0.0015,491.3372,1.0024,0.9904,92.48,99.38,99.69,95.52,no
stage2-v3,12,,3e-06,4.0608,0.0092,493.2012,1.1546,1.238,93.51,98.46,99.79,95.59,no
stage2-v4,1,1.4327,1e-06,4.2645,0.0,0.0,1.0009,0.9904,70.55,87.54,93.31,78.1,yes
stage2-v4,2,,3e-06,4.2391,0.0,0.0,1.1788,1.238,73.02,89.29,96.09,80.64,yes
stage2-v4,3,,4e-06,4.2088,0.0,0.0,1.4505,1.4856,76.21,93.2,95.78,83.5,yes
stage2-v4,4,,4e-06,4.1554,0.0,0.0,0.9759,0.9904,79.3,96.19,98.56,86.2,yes
stage2-v4,5,,4e-06,4.1245,0.0,0.0,0.9497,0.9904,87.33,95.98,98.04,91.36,yes
stage2-v4,6,,4e-06,4.1056,0.0,0.0,1.2238,1.238,91.66,97.22,99.28,94.38,yes
stage2-v4,7,,4e-06,4.0835,0.0,0.0,0.9432,0.9904,91.04,97.84,99.07,93.76,no
stage2-v4,8,,4e-06,4.0478,0.0,0.0,0.8722,0.8666,89.6,97.01,99.07,92.79,no
stage2-v4,9,,4e-06,4.0402,0.0,0.0,0.983,0.9904,90.63,97.73,98.66,93.69,no
stage2-v4,10,,3e-06,4.0211,0.0,0.0,0.9718,0.9904,93.1,98.87,99.49,95.86,yes
