version,epoch,train_loss,loss_id,loss_triplet,loss_center,loss_i2t,loss_t2i,val_rank1,val_rank5,val_rank10,val_mAP,is_best,model
stage3-v1,1,4.3559,,,,,,84.24,76.31,,63.48,no,rn50
stage3-v1,2,4.2846,,,,,,87.74,79.92,,71.2,no,rn50
stage3-v1,3,4.2192,,,,,,84.65,78.99,,70.2,no,rn50
stage3-v1,4,4.156,,,,,,89.8,82.9,,73.48,no,rn50
stage3-v1,5,4.0946,,,,,,79.61,71.47,,58.77,no,rn50
stage3-v1,6,4.0547,,,,,,73.33,64.98,,56.92,no,rn50
stage3-v1,7,4.0024,,,,,,88.05,79.09,,65.6,no,rn50
stage3-v2,1,0.0965,,,,,,87.13,78.48,,68.77,no,rn50
stage3-v2,2,0.0624,,,,,,91.14,88.36,,81.85,no,rn50
stage3-v2,3,0.0653,,,,,,91.97,87.74,,77.19,no,rn50
stage3-v2,4,0.0523,,,,,,93.1,88.67,,78.08,no,rn50
stage3-v2,5,0.057,,,,,,87.64,82.39,,73.15,no,rn50
stage3-v3,1,0.0965,,,,,,87.13,78.48,,68.77,no,rn50
stage3-v3,2,0.0624,,,,,,91.14,88.36,,81.85,no,rn50
stage3-v3,3,0.0653,,,,,,91.97,87.74,,77.19,no,rn50
stage3-v3,4,0.0523,,,,,,93.1,88.67,,78.08,no,rn50
stage3-v3,5,0.057,,,,,,87.64,82.39,,73.15,no,rn50
stage3-v4,1,0.0971,,,,,,87.85,81.98,,73.05,no,rn50
stage3-v4,2,0.0638,,,,,,89.6,83.52,,74.67,no,rn50
stage3-v4,3,0.0536,,,,,,88.05,85.79,,79.73,no,rn50
stage3-v4,4,0.0528,,,,,,87.23,80.02,,70.64,no,rn50
stage3-v4,5,0.0634,,,,,,89.6,83.52,,76.52,no,rn50
stage3-v4,6,0.0369,,,,,,91.45,83.01,,73.87,no,rn50
stage3-v5,1,4.3607,,,,,,84.24,78.17,,71.56,no,rn50
stage3-v5,2,4.2556,,,,,,90.63,81.98,,71.67,no,rn50
