version,epoch,train_loss,loss_id,loss_triplet,loss_center,loss_i2t,loss_t2i,val_rank1,val_rank5,val_rank10,val_mAP,is_best,model
stage3-v1,1,4.4077,,,,,,84.45,76.42,,62.83,no,vitb16
stage3-v1,2,4.3663,,,,,,88.36,75.49,,62.75,no,vitb16
stage3-v1,3,4.3554,,,,,,86.3,76.73,,60.95,no,vitb16
stage3-v1,4,4.2913,,,,,,84.86,73.02,,60.55,no,vitb16
stage3-v2,1,0.1524,,,,,,56.23,42.95,,31.55,no,vitb16
stage3-v2,2,0.1467,,,,,,57.88,41.3,,28.83,no,vitb16
stage3-v2,3,0.1349,,,,,,54.27,38.93,,28.77,no,vitb16
stage3-v2,4,0.1522,,,,,,60.56,45.11,,33.73,no,vitb16
stage3-v2,5,0.1409,,,,,,62.82,49.33,,34.5,no,vitb16
stage3-v2,6,0.1369,,,,,,74.36,60.25,,47.87,no,vitb16
stage3-v2,7,0.1381,,,,,,60.04,45.93,,33.71,no,vitb16
stage3-v2,8,0.1377,,,,,,68.07,50.36,,38.55,no,vitb16
stage3-v2,9,0.1371,,,,,,65.71,52.42,,38.41,no,vitb16
stage3-v3,1,0.1524,,,,,,56.23,42.95,,31.55,no,vitb16
stage3-v3,2,0.1467,,,,,,57.88,41.3,,28.83,no,vitb16
stage3-v3,3,0.1349,,,,,,54.27,38.93,,28.77,no,vitb16
stage3-v3,4,0.1522,,,,,,60.56,45.11,,33.73,no,vitb16
stage3-v3,5,0.1409,,,,,,62.82,49.33,,34.5,no,vitb16
stage3-v3,6,0.1369,,,,,,74.36,60.25,,47.87,no,vitb16
stage3-v3,7,0.1381,,,,,,60.04,45.93,,33.71,no,vitb16
stage3-v3,8,0.1377,,,,,,68.07,50.36,,38.55,no,vitb16
stage3-v3,9,0.1371,,,,,,65.71,52.42,,38.41,no,vitb16
stage3-v4,1,0.1525,,,,,,69.93,54.89,,41.88,no,vitb16
stage3-v4,2,0.1326,,,,,,65.5,51.91,,40.5,no,vitb16
stage3-v4,3,0.1384,,,,,,83.21,71.58,,55.89,no,vitb16
stage3-v4,4,0.1432,,,,,,66.43,49.74,,38.99,no,vitb16
stage3-v4,5,0.1229,,,,,,77.75,66.01,,51.72,no,vitb16
stage3-v4,6,0.1245,,,,,,74.56,61.07,,47.64,no,vitb16
stage3-v6,1,16.5798,,,,,,94.64,89.8,,79.41,no,vitb16
stage3-v6,2,12.3019,,,,,,96.5,93.92,,85.03,no,vitb16
stage3-v6,3,8.9136,,,,,,97.01,94.54,,88.15,no,vitb16
stage3-v6,4,6.3338,,,,,,97.94,95.88,,89.8,no,vitb16
stage3-v6,5,4.5635,,,,,,97.63,95.78,,91.09,no,vitb16
stage3-v6,6,3.3529,,,,,,97.32,95.88,,91.74,no,vitb16
stage3-v6,7,2.6097,,,,,,98.76,96.5,,92.71,no,vitb16
stage3-v6,8,2.0793,,,,,,98.15,95.88,,92.77,no,vitb16
stage3-v6,9,1.6937,,,,,,97.94,97.01,,92.81,no,vitb16
stage3-v6,10,1.4844,,,,,,98.25,97.01,,93.37,no,vitb16
stage3-v6,11,1.3216,,,,,,97.94,96.91,,93.19,no,vitb16
stage3-v6,12,1.2061,,,,,,98.04,96.91,,92.96,no,vitb16
stage3-v6,13,1.1355,,,,,,98.04,97.01,,93.29,no,vitb16
stage3-v6,14,1.0849,,,,,,98.04,96.91,,93.34,no,vitb16
stage3-v6,15,1.049,,,,,,97.94,97.12,,93.72,no,vitb16
stage3-v6,16,1.0393,,,,,,98.04,97.12,,93.31,no,vitb16
stage3-v6,17,1.0088,,,,,,98.04,97.01,,93.34,no,vitb16
stage3-v6,18,1.0026,,,,,,98.04,97.01,,93.2,no,vitb16
stage3-v7,1,3.4236,,,,,,95.78,90.63,,81.24,no,vitb16
stage3-v7,2,2.5021,,,,,,97.53,95.78,,89.13,no,vitb16
