Experiment: stage2a_prompt_vitb16_11k_dorsal_r
Save Path: saved_models/stage2a_prompt_vitb16_11k_dorsal_r_vitb16_11k_dorsal_r_e30_lr1e-04_bs32_ctx8_freezeTrue.pth
Freeze Text Encoder: True
LR: 0.0001 | Epochs: 30 | BS: 32 | N_CTX: 8

[Epoch 01] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3599 | PromptVar: 0.0180 | PromptGrad: 0.0006 | Time: 128.11s
[Epoch 02] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3475 | PromptVar: 0.0176 | PromptGrad: 0.0006 | Time: 123.73s
[Epoch 03] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3357 | PromptVar: 0.0173 | PromptGrad: 0.0005 | Time: 123.04s
[Epoch 04] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3245 | PromptVar: 0.0170 | PromptGrad: 0.0005 | Time: 127.18s
[Epoch 05] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3139 | PromptVar: 0.0167 | PromptGrad: 0.0005 | Time: 125.25s
[Epoch 06] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.3039 | PromptVar: 0.0164 | PromptGrad: 0.0005 | Time: 129.70s
[Epoch 07] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2945 | PromptVar: 0.0161 | PromptGrad: 0.0005 | Time: 123.23s
[Epoch 08] Loss: 0.0003 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2856 | PromptVar: 0.0159 | PromptGrad: 0.0005 | Time: 136.84s
[Epoch 09] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2773 | PromptVar: 0.0157 | PromptGrad: 0.0005 | Time: 196.23s
[Epoch 10] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2693 | PromptVar: 0.0155 | PromptGrad: 0.0005 | Time: 132.03s
[Epoch 11] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2619 | PromptVar: 0.0153 | PromptGrad: 0.0005 | Time: 129.03s
[Epoch 12] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2548 | PromptVar: 0.0151 | PromptGrad: 0.0005 | Time: 181.47s
[Epoch 13] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2480 | PromptVar: 0.0149 | PromptGrad: 0.0005 | Time: 177.56s
[Epoch 14] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2416 | PromptVar: 0.0148 | PromptGrad: 0.0005 | Time: 177.85s
[Epoch 15] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2356 | PromptVar: 0.0147 | PromptGrad: 0.0005 | Time: 208.55s
[Epoch 16] Loss: 0.0002 | Pos/Sample: 3.00 | Img→Text@1: 0.0312 | Img→Text@5: 0.2500 | Text→Img@1: 0.0312 | PromptNorm: 0.2298 | PromptVar: 0.0145 | PromptGrad: 0.0005 | Time: 196.18s
