Running Stage 2b: Fine-tune image encoder with frozen prompts
Save Path: saved_models/stage2b_finetune_vitb16_11k_dorsal_r_vitb16_11k_dorsal_r_e30_lr1e-04_bs32_ctx8_freezeTTrue_freezePTrue_from2a_lossT1.0_I2T1.0.pth
LR: 0.0001 | Epochs: 30 | BS: 32
- Epoch 1: Loss=3.6985, Acc=3.15%, Time=1177.43s, LR=0.0001
- Epoch 2: Loss=3.6291, Acc=3.15%, Time=1187.94s, LR=0.0001
- Epoch 3: Loss=3.5710, Acc=3.15%, Time=1189.63s, LR=0.0001
- Epoch 4: Loss=3.5830, Acc=3.15%, Time=1225.24s, LR=0.0001
- Epoch 5: Loss=3.5295, Acc=3.15%, Time=1162.49s, LR=0.0001
- Epoch 6: Loss=3.5641, Acc=3.15%, Time=1134.33s, LR=0.0001
- Epoch 7: Loss=3.5692, Acc=3.15%, Time=1129.03s, LR=0.0001
- Epoch 8: Loss=3.5425, Acc=3.15%, Time=1124.48s, LR=0.0001
- Epoch 9: Loss=3.5394, Acc=3.15%, Time=915.13s, LR=0.0001
- Epoch 10: Loss=3.5272, Acc=3.15%, Time=909.15s, LR=0.0001
- Epoch 11: Loss=3.5414, Acc=3.15%, Time=911.78s, LR=0.0001
- Epoch 12: Loss=3.5381, Acc=3.15%, Time=907.95s, LR=0.0001
- Epoch 13: Loss=3.5454, Acc=3.15%, Time=907.42s, LR=0.0001
- Epoch 14: Loss=3.5493, Acc=3.15%, Time=926.10s, LR=0.0001
- Epoch 15: Loss=3.5453, Acc=3.15%, Time=908.73s, LR=0.0001
- Epoch 16: Loss=3.5442, Acc=3.15%, Time=957.21s, LR=0.0001
- Epoch 17: Loss=3.5514, Acc=3.15%, Time=1009.92s, LR=0.0001
- Epoch 18: Loss=3.5318, Acc=3.15%, Time=970.81s, LR=0.0001
- Epoch 19: Loss=3.7390, Acc=3.15%, Time=918.24s, LR=0.0001
